county,instance_id,benchmark,optimized_objective,completion_time,num_parks,route_cost,walking_cost,loading_cost,parking_time,q,f
Adams,7,Relaxed M-S (alpha=0.6),123.02340000000001,385.039,50,30.03900000000001,0.0,105.0,5.0,3,2.1
Adams,7,Relaxed M-S (alpha=0.8),129.0312,385.039,50,30.03900000000001,0.0,105.0,5.0,3,2.1
Adams,8,CDPP,268.0288333333333,268.0288333333333,14,33.038333333333334,59.990500000000004,105.0,5.0,3,2.1
Adams,8,Modified TSP,293.0773333333334,293.0773333333334,21,33.84966666666667,154.22766666666672,105.0,5.0,3,2.1
Adams,8,Relaxed M-S (alpha=0.5),124.294,393.58799999999997,50,38.587999999999994,0.0,105.0,5.0,3,2.1
Adams,8,Relaxed M-S (alpha=0.6),128.14953333333332,378.71233333333333,47,38.323,0.3893333333333332,105.0,5.0,3,2.1
Adams,8,Relaxed M-S (alpha=0.8),135.71406666666667,373.9343333333333,46,38.212,0.7223333333333333,105.0,5.0,3,2.1
Adams,9,CDPP,387.79083333333335,387.79083333333335,23,38.902,128.88883333333334,105.0,5.0,3,2.1
Adams,9,Modified TSP,373.1653333333336,373.1653333333336,35,45.07999999999999,153.0853333333336,105.0,5.0,3,2.1
Adams,9,Relaxed M-S (alpha=0.5),131.32649999999998,407.65299999999996,50,52.652999999999984,0.0,105.0,5.0,3,2.1
Adams,9,Relaxed M-S (alpha=0.6),136.02076666666665,392.7271666666667,47,49.64949999999999,3.077666666666666,105.0,5.0,3,2.1
Adams,9,Relaxed M-S (alpha=0.8),145.33513333333332,392.7271666666667,47,49.64949999999999,3.077666666666666,105.0,5.0,3,2.1
Adams,10,CDPP,335.70183333333335,335.70183333333335,20,57.846333333333334,72.85549999999999,105.0,5.0,3,2.1
Adams,10,Modified TSP,328.37966666666676,328.37966666666676,25,51.02116666666667,152.3585000000001,105.0,5.0,3,2.1
Adams,10,Relaxed M-S (alpha=0.5),134.85625,404.7125,48,59.7125,0.0,105.0,5.0,3,2.1
Adams,10,Relaxed M-S (alpha=0.6),140.8275,404.7125,48,59.7125,0.0,105.0,5.0,3,2.1
Adams,10,Relaxed M-S (alpha=0.8),151.95683333333335,356.9671666666667,38,57.60566666666668,4.3614999999999995,105.0,5.0,3,2.1
Cumberland,1,CDPP,217.53766666666667,217.53766666666667,36,69.07516666666666,7.4625,105.0,1.0,3,2.1
Cumberland,1,Modified TSP,219.4123333333332,219.4123333333332,39,70.46466666666666,109.94766666666655,105.0,1.0,3,2.1
Cumberland,1,Relaxed M-S (alpha=0.5),141.73833333333332,224.47666666666663,46,73.47666666666665,0.0,105.0,1.0,3,2.1
Cumberland,1,Relaxed M-S (alpha=0.6),149.08599999999998,224.47666666666663,46,73.47666666666665,0.0,105.0,1.0,3,2.1
Cumberland,1,Relaxed M-S (alpha=0.8),160.24746666666667,228.99283333333332,26,59.414833333333334,38.577999999999996,105.0,1.0,3,2.1
Cumberland,2,CDPP,182.71433333333334,182.71433333333334,27,40.001333333333335,10.712999999999997,105.0,1.0,3,2.1
Cumberland,2,Modified TSP,184.92899999999997,184.92899999999997,32,40.001,112.92799999999997,105.0,1.0,3,2.1
Cumberland,2,Relaxed M-S (alpha=0.5),125.1165,186.233,41,40.233000000000004,0.0,105.0,1.0,3,2.1
Cumberland,2,Relaxed M-S (alpha=0.6),129.1398,186.233,41,40.233000000000004,0.0,105.0,1.0,3,2.1
Cumberland,2,Relaxed M-S (alpha=0.8),137.1864,186.233,41,40.233000000000004,0.0,105.0,1.0,3,2.1
Cumberland,3,CDPP,216.1775,216.1775,28,69.71416666666667,13.463333333333333,105.0,1.0,3,2.1
Cumberland,3,Modified TSP,214.9391666666666,214.9391666666666,34,70.2955,110.6436666666666,105.0,1.0,3,2.1
Cumberland,3,Relaxed M-S (alpha=0.5),140.2235,221.447,46,70.447,0.0,105.0,1.0,3,2.1
Cumberland,3,Relaxed M-S (alpha=0.6),147.2682,221.447,46,70.447,0.0,105.0,1.0,3,2.1
Cumberland,3,Relaxed M-S (alpha=0.8),161.3576,221.447,46,70.447,0.0,105.0,1.0,3,2.1
Cumberland,4,CDPP,207.94466666666668,207.94466666666668,35,55.84033333333334,12.104333333333331,105.0,1.0,3,2.1
Cumberland,4,Modified TSP,206.00899999999984,206.00899999999984,41,55.91166666666667,109.09733333333318,105.0,1.0,3,2.1
Cumberland,4,Relaxed M-S (alpha=0.5),133.08675,210.1735,49,56.1735,0.0,105.0,1.0,3,2.1
Cumberland,4,Relaxed M-S (alpha=0.6),138.70409999999998,210.1735,49,56.1735,0.0,105.0,1.0,3,2.1
Cumberland,4,Relaxed M-S (alpha=0.8),149.93880000000001,210.1735,49,56.1735,0.0,105.0,1.0,3,2.1
Cumberland,5,CDPP,184.81616666666667,184.81616666666667,33,30.06416666666667,16.752,105.0,1.0,3,2.1
Cumberland,5,Modified TSP,183.1211666666666,183.1211666666666,41,29.86566666666667,112.25549999999993,105.0,1.0,3,2.1
Cumberland,5,Relaxed M-S (alpha=0.5),120.10983333333334,185.21966666666668,50,30.21966666666667,0.0,105.0,1.0,3,2.1
Cumberland,5,Relaxed M-S (alpha=0.6),123.1318,185.21966666666668,50,30.21966666666667,0.0,105.0,1.0,3,2.1
Cumberland,5,Relaxed M-S (alpha=0.8),129.17573333333334,185.21966666666668,50,30.21966666666667,0.0,105.0,1.0,3,2.1
Cumberland,6,CDPP,183.265,183.265,31,33.304833333333335,13.960166666666668,105.0,1.0,3,2.1
Cumberland,6,Modified TSP,182.32466666666656,182.32466666666656,39,33.4825,109.84216666666657,105.0,1.0,3,2.1
Cumberland,6,Relaxed M-S (alpha=0.5),121.74108333333334,178.48216666666667,40,31.146500000000003,2.3356666666666657,105.0,1.0,3,2.1
Cumberland,6,Relaxed M-S (alpha=0.6),124.62216666666667,178.48216666666667,40,31.146500000000003,2.3356666666666657,105.0,1.0,3,2.1
Cumberland,6,Relaxed M-S (alpha=0.8),130.38433333333333,178.48216666666667,40,31.146500000000003,2.3356666666666657,105.0,1.0,3,2.1
Cumberland,7,CDPP,183.41316666666665,183.41316666666665,34,35.291166666666676,9.121999999999996,105.0,1.0,3,2.1
Cumberland,7,Modified TSP,183.24933333333323,183.24933333333323,40,35.45133333333334,107.79799999999989,105.0,1.0,3,2.1
Cumberland,7,Relaxed M-S (alpha=0.5),122.84666666666666,188.69333333333333,48,35.69333333333333,0.0,105.0,1.0,3,2.1
Cumberland,7,Relaxed M-S (alpha=0.6),126.416,188.69333333333333,48,35.69333333333333,0.0,105.0,1.0,3,2.1
Cumberland,7,Relaxed M-S (alpha=0.8),133.55466666666666,188.69333333333333,48,35.69333333333333,0.0,105.0,1.0,3,2.1
Cumberland,8,CDPP,182.39616666666666,182.39616666666666,32,25.070666666666664,20.3255,105.0,1.0,3,2.1
Cumberland,8,Modified TSP,179.09083333333314,179.09083333333314,42,26.0675,111.02333333333314,105.0,1.0,3,2.1
Cumberland,8,Relaxed M-S (alpha=0.5),118.05916666666667,179.11833333333334,48,25.792666666666666,0.3256666666666666,105.0,1.0,3,2.1
Cumberland,8,Relaxed M-S (alpha=0.6),120.60586666666667,179.11833333333334,48,25.792666666666666,0.3256666666666666,105.0,1.0,3,2.1
Cumberland,8,Relaxed M-S (alpha=0.8),125.69926666666666,179.11833333333334,48,25.792666666666666,0.3256666666666666,105.0,1.0,3,2.1
Cumberland,9,CDPP,217.1655,217.1655,34,68.92233333333333,9.243166666666665,105.0,1.0,3,2.1
Cumberland,9,Modified TSP,217.1356666666666,217.1356666666666,38,70.01233333333332,109.12333333333328,105.0,1.0,3,2.1
Cumberland,9,Relaxed M-S (alpha=0.5),139.99316666666667,216.98633333333333,42,68.92233333333333,1.0639999999999996,105.0,1.0,3,2.1
Cumberland,9,Relaxed M-S (alpha=0.6),146.779,216.98633333333333,42,68.92233333333333,1.0639999999999996,105.0,1.0,3,2.1
Cumberland,9,Relaxed M-S (alpha=0.8),160.35066666666665,216.98633333333333,42,68.92233333333333,1.0639999999999996,105.0,1.0,3,2.1
Cumberland,10,CDPP,219.37483333333333,219.37483333333333,33,69.49199999999999,11.88283333333333,105.0,1.0,3,2.1
Cumberland,10,Modified TSP,217.80283333333327,217.80283333333327,40,69.49183333333332,108.31099999999995,105.0,1.0,3,2.1
Cumberland,10,Relaxed M-S (alpha=0.5),139.79225,220.5845,46,69.58449999999999,0.0,105.0,1.0,3,2.1
Cumberland,10,Relaxed M-S (alpha=0.6),146.7507,220.5845,46,69.58449999999999,0.0,105.0,1.0,3,2.1
Cumberland,10,Relaxed M-S (alpha=0.8),160.6676,220.5845,46,69.58449999999999,0.0,105.0,1.0,3,2.1
